,mean_expression,variance,cv,samples_expressed,max_expression,detection_rate
ENSG00000237152,26.476190476190474,312.26190476190476,0.6674273591346627,18,78.0,0.84
ENSG00000237170,5.1875,16.9625,0.793938421995727,2,15.0,0.64
ENSG00000237172,6.083333333333333,20.992424242424246,0.7531642241006575,2,15.0,0.48
ENSG00000237186,1.375,0.38333333333333336,0.45028304208295267,0,3.0,0.64
ENSG00000237188,8.733333333333333,39.352380952380955,0.7182993439757634,5,23.0,0.6
ENSG00000237214,18.863636363636363,115.45670995670993,0.5696186140058789,16,43.0,0.88
ENSG00000237294,3.6315789473684212,3.690058479532164,0.5289579313389788,0,8.0,0.76
ENSG00000237296,6.636363636363637,28.05194805194805,0.7980890227332009,4,20.0,0.88
ENSG00000237310,9.666666666666666,16.5,0.4202088825637129,3,15.0,0.36
ENSG00000237352,6.0,24.666666666666668,0.8277591333843648,2,16.0,0.4
ENSG00000237406,1.4285714285714286,0.619047619047619,0.5507570508733108,0,3.0,0.28
ENSG00000237414,3.25,0.9166666666666666,0.29459295532627955,0,4.0,0.16
ENSG00000237415,1.8571428571428572,1.6703296703296702,0.6959143360392379,0,5.0,0.56
ENSG00000237422,10.625,37.31666666666667,0.5749399441688193,10,19.0,0.64
ENSG00000237433,1.4444444444444444,1.7777777777777781,0.9230769166863907,0,5.0,0.36
ENSG00000237438,8.357142857142858,35.32417582417583,0.7111778016151891,3,21.0,0.56
ENSG00000237470,5.875,6.410714285714286,0.43096831233065824,0,9.0,0.32
ENSG00000237476,10.1875,40.5625,0.6251651136369911,7,26.0,0.64
ENSG00000237513,8.583333333333334,90.81060606060606,1.1102283370284503,3,32.0,0.48
ENSG00000237515,1.0,0.0,0.0,0,1.0,0.08
ENSG00000237593,8.166666666666666,21.242424242424242,0.5643612787927719,3,19.0,0.48
ENSG00000237622,1.0,,,0,1.0,0.04
ENSG00000237649,11.75,85.14473684210526,0.7853098355872085,7,42.0,0.8
ENSG00000237651,4.555555555555555,4.777777777777778,0.4798125738956798,0,8.0,0.36
ENSG00000237661,1.0,,,0,1.0,0.04
ENSG00000237672,6.5,50.5,1.0932823370527884,1,26.0,0.4
ENSG00000237682,1.4285714285714286,0.6190476190476191,0.550757050873311,0,3.0,0.28
ENSG00000237721,4.333333333333333,2.333333333333333,0.3525058218754358,0,6.0,0.12
ENSG00000237729,3.210526315789474,7.2865497076023376,0.8407845653407633,0,9.0,0.76
ENSG00000237730,2.6666666666666665,3.095238095238096,0.6597483261656284,0,7.0,0.6
ENSG00000237745,1.4285714285714286,0.619047619047619,0.5507570508733108,0,3.0,0.28
ENSG00000237748,5.133333333333334,8.695238095238096,0.5744355011809903,1,11.0,0.6
